language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,carre_volterra,cubic_distortion_vec_double,scalar,double,O3,48000,64,0,1,50,310000,317,0.099276419,320.24651290322583,315.4292,340.7958,25.366600000000005,7.920960565670688,5.003851764112904,5.003851764112904,199846048.03281632,202898146.39862132,187795741.61418656,199846048.03281632,202898146.39862132,187795741.61418656,-16.646956744421914
cpp,carre_volterra,cubic_distortion_vec_double,scalar,single,O3,48000,64,0,1,50,210000,212,0.102204539,486.688280952381,479.0583,526.2083,47.150000000000034,9.687925895346003,7.604504389880954,7.604504389880954,131501008.97182263,133595430.86927,121624839.44095902,131501008.97182263,133595430.86927,121624839.44095902,0.2406733748794067
cpp,carre_volterra,cubic_distortion_vec_double,vec,double,O3,48000,64,0,1,50,155287,198,0.1014175829999999,653.0977029629009,633.4486347496021,684.7702669605682,51.32163221096607,7.858185992407537,10.204651608795327,10.204651608795327,97994526.25488032,101034237.8041414,93462001.91207394,97994526.25488032,101034237.8041414,93462001.91207394,-19.50276153627783
cpp,carre_volterra,cubic_distortion_vec_double,vec,single,O3,48000,64,0,1,50,164749,197,0.0984133329999999,597.3531432664234,566.2316705336427,615.2879684418145,49.056297908171814,8.21227752145474,9.333642863537866,9.333642863537866,107139303.98028488,113027941.26595472,104016335.8989072,107139303.98028488,113027941.26595472,104016335.8989072,6.150126199238002
mojo,carre_volterra,cubic_distortion_vec_double,scalar,double,O3,48000,64,0,1,50,181545,198,0.0988069999984873,544.2562449997923,534.6524289009811,571.4734526438774,36.82102374289627,6.7653837840501625,8.504003828121755,8.504003828121755,117591668.60827552,119703935.75421864,111991203.97265872,117591668.60827552,119703935.75421864,111991203.97265872,-16.16508242052805
mojo,carre_volterra,cubic_distortion_vec_double,scalar,single,O3,48000,64,0,1,50,173133,188,0.0928700000004028,536.4084258945595,528.274428240617,557.9242929381141,29.64986469749715,5.527479298642738,8.381381654602492,8.381381654602492,119312070.63585594,121149153.88418056,114710903.9883642,119312070.63585594,121149153.88418056,114710903.9883642,4.4528194449376315
mojo,carre_volterra,cubic_distortion_vec_double,vec,double,O3,48000,64,0,1,50,103088,200,0.1058000000011816,1026.3076206850617,995.4163483629944,1103.5536877699478,108.13733940695352,10.536542575292554,16.036056573204085,16.036056573204085,62359470.69873644,64294704.527659,57994459.815843366,62359470.69873644,64294704.527659,57994459.815843366,-16.646956631004286
mojo,carre_volterra,cubic_distortion_vec_double,vec,single,O3,48000,64,0,1,50,95410,193,0.0938000000023748,983.1254585722132,958.4052139196154,1006.5359317962372,48.130717876621816,4.8956842137443735,15.36133529019083,15.36133529019083,65098507.46103837,66777599.98639561,63584416.5898651,65098507.46103837,66777599.98639561,63584416.5898651,8.337663504760712
cpp,cubic_distortion,cubic_distortion_vec_double,scalar,double,O3,48000,64,0,2,50,143350,1000,1.5301959980000008,10674.544806417858,10238.96573875803,11860.86226685796,1621.8965280999307,15.194057990414708,166.78976260027903,83.39488130013952,5995571.816937921,6250631.326730379,5395897.7484150585,11991143.63387584,12501262.653460758,10791795.496830115,6.666125945746899
cpp,cubic_distortion,cubic_distortion_vec_double,scalar,single,O3,48000,64,0,2,50,142329,981,1.3882233329999996,9753.622473283727,9409.23885793872,10200.72613240418,791.4872744654623,8.114803260362342,152.40035114505827,76.20017557252913,6561664.671285282,6801825.41502836,6274063.156807448,13123329.342570564,13603650.83005672,12548126.313614896,30.875792533159256
