language,bench_case,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,elapsed_s,ns_per_compute,ns_per_frame,ns_per_out_samp,frames_per_s,out_samp_per_s,checksum
cpp,buffer_sweep,double,O3,96000,128,0,1,100,100000,0.043898458000000001,438.98457999999999,3.42956703125,3.42956703125,291581995.88696259,291581995.88696259,61.57727388641797
cpp,buffer_sweep,single,O0,96000,256,0,1,100,100000,0.193690208,1936.9020800000001,7.5660237500000003,7.5660237500000003,132169820.37625773,132169820.37625773,-26.234367552213371
cpp,buffer_sweep,single,O3,96000,256,0,1,100,100000,0.102264416,1022.6441600000001,3.9947037500000002,3.9947037500000002,250331454.49146262,250331454.49146262,-26.234367552213371
cpp,buffer_sweep,double,O0,96000,256,0,1,100,100000,0.19402787499999999,1940.2787499999999,7.5792138671874998,7.5792138671874998,131939805.04089941,131939805.04089941,-26.234367552213371
cpp,buffer_sweep,double,O3,96000,256,0,1,100,100000,0.087380333000000004,873.80332999999996,3.4132942578124998,3.4132942578124998,292972103.91725105,292972103.91725105,-26.234367552213371
cpp,buffer_sweep,single,O0,96000,512,0,1,100,100000,0.38103820799999999,3810.3820799999999,7.4421524999999997,7.4421524999999997,134369727.03797725,134369727.03797725,-61.361486532259732
cpp,buffer_sweep,single,O3,96000,512,0,1,100,100000,0.20463799999999999,2046.3800000000001,3.9968359375000002,3.9968359375000002,250197910.45651346,250197910.45651346,-61.361486532259732
cpp,buffer_sweep,double,O0,96000,512,0,1,100,100000,0.35498287499999998,3549.8287500000001,6.9332592773437502,6.9332592773437502,144232309.79804307,144232309.79804307,-61.361486532259732
cpp,buffer_sweep,double,O3,96000,512,0,1,100,100000,0.17738145899999999,1773.81459,3.4644816210937499,3.4644816210937499,288643470.90526527,288643470.90526527,-61.361486532259732
cpp,buffer_sweep,single,O0,96000,1024,0,1,100,100000,0.77662474999999997,7766.2475000000004,7.5842260742187504,7.5842260742187504,131852609.64191523,131852609.64191523,9.656278979498893
cpp,buffer_sweep,single,O3,96000,1024,0,1,100,100000,0.40943887499999998,4094.3887500000001,3.9984265136718751,3.9984265136718751,250098381.5960319,250098381.5960319,9.656278979498893
cpp,buffer_sweep,double,O0,96000,1024,0,1,100,100000,0.75216499999999997,7521.6499999999996,7.3453613281249996,7.3453613281249996,136140341.54739985,136140341.54739985,9.656278979498893
cpp,buffer_sweep,double,O3,96000,1024,0,1,100,100000,0.353277334,3532.7733400000002,3.4499739648437502,3.4499739648437502,289857259.8490001,289857259.8490001,9.656278979498893
cpp,buffer_sweep,single,O0,96000,2048,0,1,100,100000,1.4055938750000001,14055.938749999999,6.8632513427734372,6.8632513427734372,145703537.58833787,145703537.58833787,22.607544974791381
cpp,buffer_sweep,single,O3,96000,2048,0,1,100,100000,0.82453258299999999,8245.3258299999998,4.0260380029296874,4.0260380029296874,248383149.70507357,248383149.70507357,22.607544974791381
cpp,buffer_sweep,double,O0,96000,2048,0,1,100,100000,1.54381875,15438.1875,7.538177490234375,7.538177490234375,132658059.7625207,132658059.7625207,22.607544974791381
cpp,buffer_sweep,double,O3,96000,2048,0,1,100,100000,0.69887095799999999,6988.7095799999997,3.4124558496093749,3.4124558496093749,293044084.39876825,293044084.39876825,22.607544974791381
cpp,sample_rate_sweep,single,O0,44100,128,0,1,100,100000,0.10112725,1011.2725,7.9005664062500003,7.9005664062500003,126573203.56283791,126573203.56283791,15.299963740631938
cpp,sample_rate_sweep,single,O3,44100,128,0,1,100,100000,0.050194292000000001,501.94292000000002,3.9214290625000001,3.9214290625000001,255009075.53392723,255009075.53392723,15.299963740631938
cpp,sample_rate_sweep,double,O0,44100,128,0,1,100,100000,0.10101012500000001,1010.1012500000001,7.8914160156250004,7.8914160156250004,126719969.90400714,126719969.90400714,15.299963740631938
cpp,sample_rate_sweep,double,O3,44100,128,0,1,100,100000,0.044983083,449.83082999999999,3.5143033593749999,3.5143033593749999,284551416.80706942,284551416.80706942,15.299963740631938
cpp,sample_rate_sweep,single,O0,48000,128,0,1,100,100000,0.097049125,970.49125000000004,7.5819628906250003,7.5819628906250003,131891967.08368056,131891967.08368056,-1.3588475631549954
cpp,sample_rate_sweep,single,O3,48000,128,0,1,100,100000,0.050637124999999998,506.37124999999997,3.9560253906249998,3.9560253906249998,252778964.05058542,252778964.05058542,-1.3588475631549954
cpp,sample_rate_sweep,double,O0,48000,128,0,1,100,100000,0.099968249999999995,999.6825,7.81001953125,7.81001953125,128040652.90729807,128040652.90729807,-1.3588475631549954
cpp,sample_rate_sweep,double,O3,48000,128,0,1,100,100000,0.044363832999999998,443.63833,3.465924453125,3.465924453125,288523311.31983119,288523311.31983119,-1.3588475631549954
cpp,sample_rate_sweep,single,O0,96000,128,0,1,100,100000,0.097086292000000005,970.86292000000003,7.5848665625000002,7.5848665625000002,131841475.62253176,131841475.62253176,61.57727388641797
cpp,sample_rate_sweep,single,O3,96000,128,0,1,100,100000,0.050697375000000003,506.97375,3.960732421875,3.960732421875,252478555.34926608,252478555.34926608,61.57727388641797
cpp,sample_rate_sweep,double,O0,96000,128,0,1,100,100000,0.083255667000000005,832.55667000000005,6.5043489843750004,6.5043489843750004,153743288.1295636,153743288.1295636,61.57727388641797
cpp,sample_rate_sweep,double,O3,96000,128,0,1,100,100000,0.044158334,441.58334000000002,3.4498698437500002,3.4498698437500002,289866008.07901853,289866008.07901853,61.57727388641797
cpp,sample_rate_sweep,single,O0,192000,128,0,1,100,100000,0.094750500000000001,947.505,7.4023828125,7.4023828125,135091635.40034088,135091635.40034088,-84.608070683549158
cpp,sample_rate_sweep,single,O3,192000,128,0,1,100,100000,0.049692624999999997,496.92624999999998,3.8822363281249999,3.8822363281249999,257583494.53263941,257583494.53263941,-84.608070683549158
cpp,sample_rate_sweep,double,O0,192000,128,0,1,100,100000,0.094666791,946.66791000000001,7.395843046875,7.395843046875,135211090.02205431,135211090.02205431,-84.608070683549158
cpp,sample_rate_sweep,double,O3,192000,128,0,1,100,100000,0.042314584000000002,423.14584000000002,3.3058268750000002,3.3058268750000002,302496179.5677821,302496179.5677821,-84.608070683549158
