language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
mojo,bandfilter,run,vec,single,O3,48000,64,1,1,50,630000,633,0.1002020000014454,159.05079365308796,158.29999993002275,161.80000002350425,3.500000093481503,2.200554937887008,2.485168650829499,2.485168650829499,402387177.89483625,404295641.3663392,395550061.74723667,402387177.89483625,404295641.3663392,395550061.74723667,2.079995501204394
cpp,bells,run,scalar,double,O3,48000,64,0,1,50,143050,1000,1.4768576619999998,10324.06614470465,10286.114887831409,10375.491325468423,89.37643763701817,0.865709657263873,161.31353351101015,161.31353351101015,6199107.90021686,6221979.892108024,6168382.5847264705,6199107.90021686,6221979.892108024,6168382.5847264705,0.0
cpp,bells,run,scalar,single,O3,48000,64,0,1,50,140350,1000,1.5410797529999998,10980.261866761668,10921.302695231514,11029.636619718312,108.3339244867966,0.98662423356891,171.56659166815106,171.56659166815106,5828640.58950491,5860106.782677476,5802548.37095753,5828640.58950491,5860106.782677476,5802548.37095753,0.0
cpp,bells,run,vec,double,O3,48000,64,0,1,50,130750,1000,1.806149211,13813.760695984703,13640.237020316026,13948.618556701033,308.38153638500444,2.232422749835552,215.840010874761,215.840010874761,4633061.2936275285,4692000.579218469,4588267.9879617095,4633061.2936275285,4692000.579218469,4588267.9879617095,0.0
cpp,bells,run,vec,single,O3,48000,64,0,1,50,136750,1000,1.6113224570000004,11782.979575868372,11616.29583637692,11864.537845705969,248.24200932904932,2.106784686595322,184.10905587294332,184.10905587294332,5431563.348465141,5509501.557250402,5394226.124295518,5431563.348465141,5509501.557250402,5394226.124295518,0.0
mojo,bells,run,scalar,double,O3,48000,64,0,1,50,138150,1000,1.6029300000009243,11602.823018464893,11407.875185397335,12089.285714215035,681.4105288176979,5.872799470726149,181.29410966351392,181.29410966351392,5515899.0099348705,5610159.557313817,5293943.8700457215,5515899.0099348705,5610159.557313817,5293943.8700457215,0.0
mojo,bells,run,scalar,single,O3,48000,64,0,1,50,142950,1000,1.5533940000004804,10866.694648481847,10654.854712979592,10926.3233201472,271.46860716760966,2.4981709337487983,169.79210388252886,169.79210388252886,5889555.386461626,6006651.589724271,5857414.074685993,5889555.386461626,6006651.589724271,5857414.074685993,0.0
mojo,bells,run,vec,double,O3,48000,64,0,1,50,125550,1000,2.1614339999978256,17215.722819576473,16696.708462689894,17496.271748607902,799.5632859180078,4.644378248288258,268.9956690558824,268.9956690558824,3717531.9718335527,3833090.824039542,3657922.1516202264,3717531.9718335527,3833090.824039542,3657922.1516202264,0.0
mojo,bells,run,vec,single,O3,48000,64,0,1,50,125150,1000,2.053921000000628,16411.67399121556,16057.877814635567,16631.20567360658,573.3278589710098,3.493414866014806,256.43240611274314,256.43240611274314,3899663.132125117,3985582.6989584346,3848187.633297497,3899663.132125117,3985582.6989584346,3848187.633297497,0.0
cpp,carre_volterra,carre_volterra,scalar,double,O3,48000,64,0,1,50,340000,348,0.098847334,290.72745294117647,289.2042,292.9708,3.766599999999982,1.2955776834608348,4.542616452205882,4.542616452205882,220137449.53404608,221296924.45683703,218451804.7532382,220137449.53404608,221296924.45683703,218451804.7532382,-2.3675784994265996
cpp,carre_volterra,run,scalar,double,O3,48000,64,0,1,50,320000,320,0.101295623,316.548821875,297.6542,322.2791,24.624900000000025,7.77917916552032,4.946075341796875,4.946075341796875,202180502.90287465,215014604.1950693,198585635.86655167,202180502.90287465,215014604.1950693,198585635.86655167,-16.64695674444374
cpp,carre_volterra,run,scalar,single,O3,48000,64,0,1,50,200000,202,0.101576085,507.880425,506.45,510.9125,4.462500000000034,0.8786517023175354,7.935631640625,7.935631640625,126013913.6096848,126369829.20327772,125266068.06449243,126013913.6096848,126369829.20327772,125266068.06449243,1.2923733323113993
cpp,carre_volterra,run,vec,double,O3,48000,64,0,1,50,154831,197,0.0996026669999999,643.2992553170876,619.5515210991168,652.4965635738831,32.945042474766296,5.121262336690784,10.051550864329494,10.051550864329494,99487135.21897964,103300529.20612743,98084807.75662076,99487135.21897964,103300529.20612743,98084807.75662076,-11.222382485400884
cpp,carre_volterra,run,vec,single,O3,48000,64,0,1,50,171057,199,0.1006678739999999,588.5048492607727,580.1349700066652,593.8680817959547,13.733111789289524,2.3335596650630546,9.195388269699574,9.195388269699574,108750165.91688427,110319155.55661936,107768041.35769255,108750165.91688427,110319155.55661936,107768041.35769255,-2.029539472423494
mojo,carre_volterra,run,scalar,double,O3,48000,64,0,1,50,185212,199,0.0998440000003029,539.0795412840578,536.9134408385643,541.4189052244958,4.505464385931532,0.8357698708431345,8.423117832563403,8.423117832563403,118720884.57958452,119199846.99962673,118207915.13266943,118720884.57958452,119199846.99962673,118207915.13266943,10.2228713510558
mojo,carre_volterra,run,scalar,single,O3,48000,64,0,1,50,191250,201,0.1022009999996953,534.3843137238972,513.89469294631,537.9866052364443,24.09191229013436,4.5083494540189735,8.349754901935894,8.349754901935894,119763994.48182002,124539133.9479867,118962069.64460032,119763994.48182002,124539133.9479867,118962069.64460032,15.061083855573088
mojo,carre_volterra,run,vec,double,O3,48000,64,0,1,50,99773,193,0.0998700000000099,1000.9722069097842,994.8071214271848,1008.7263275652572,13.91920613807224,1.3905686933150536,15.640190732965378,15.640190732965378,63937839.1909419,64334079.06065588,63446346.398507856,63937839.1909419,64334079.06065588,63446346.398507856,-16.646956631004286
mojo,carre_volterra,run,vec,single,O3,48000,64,0,1,50,100029,192,0.094532999999501,945.0559337742156,938.4102471970128,954.7606524094203,16.350405212407622,1.7300992066268446,14.76649896522212,14.76649896522212,67720859.38279532,68200448.78150572,67032506.87854648,67720859.38279532,68200448.78150572,67032506.87854648,10.797869107918814
cpp,comb_delay1,run,scalar,double,O3,48000,64,0,1,50,370000,371,0.100372999,271.27837567567565,269.2333,272.925,3.6917000000000257,1.3608530317999263,4.238724619932432,4.238724619932432,235920020.68205613,237712051.22100425,234496656.5906385,235920020.68205613,237712051.22100425,234496656.5906385,-32.65051428647712
cpp,comb_delay1,run,scalar,single,O3,48000,64,0,1,50,340000,340,0.102300083,300.88259705882354,296.9334,306.6125,9.679100000000004,3.216902570841513,4.701290579044118,4.701290579044118,212707549.8071688,215536547.92623532,208732520.68979573,212707549.8071688,215536547.92623532,208732520.68979573,-24.33896773681045
cpp,comb_delay1,run,vec,double,O3,48000,64,0,1,50,480000,481,0.101020206,210.4587625,209.5458,211.5541,2.0082999999999913,0.954248697532844,3.2884181640625,3.2884181640625,304097578.26072925,305422489.97593844,302523089.8384858,304097578.26072925,305422489.97593844,302523089.8384858,19.265490096062425
cpp,comb_delay1,run,vec,single,O3,48000,64,0,1,50,490000,493,0.1003283309999999,204.75169591836735,202.96659999999997,207.44169999999997,4.475099999999998,2.1856229224026453,3.19924524872449,3.19924524872449,312573723.567673,315322816.6604752,308520418.025884,312573723.567673,315322816.6604752,308520418.025884,27.31866423971951
mojo,comb_delay1,run,scalar,double,O3,48000,64,0,1,50,290000,297,0.0996990000003279,343.78965517354465,341.2000000025728,347.30000006675255,6.100000064179767,1.774340784367259,5.371713362086635,5.371713362086635,186160342.63070792,187573270.80749536,184278721.53095,186160342.63070792,187573270.80749536,184278721.53095,13.557637015357614
mojo,comb_delay1,run,scalar,single,O3,48000,64,0,1,50,300000,300,0.1014059999997698,338.01999999923277,336.5000000485452,342.19999997731065,5.699999928765465,1.6862907309562754,5.281562499988012,5.281562499988012,189337908.9998972,190193164.905697,187025131.51444617,189337908.9998972,190193164.905697,187025131.51444617,29.13883813098073
mojo,comb_delay1,run,vec,double,O3,48000,64,0,1,50,240000,248,0.0980629999994562,408.5958333310675,403.6999998788815,412.5000001295121,8.800000250630546,2.153717569483947,6.38430989579793,6.38430989579793,156634000.59232506,158533564.57567835,155151515.10280246,156634000.59232506,158533564.57567835,155151515.10280246,-32.65051428647712
mojo,comb_delay1,run,vec,single,O3,48000,64,0,1,50,260000,267,0.0977939999993395,376.1307692282291,363.9999998995336,380.2999999606982,16.30000006116461,4.333599214605618,5.8770432691910806,5.8770432691910806,170153588.1558416,175824175.87270448,168288193.54881418,170153588.1558416,175824175.87270448,168288193.54881418,8.345079589635134
cpp,comb_delay2,run,scalar,double,O3,48000,64,0,1,50,580000,586,0.100410546,173.12163103448276,165.1042,175.2167,10.112500000000011,5.841268904164715,2.705025484913793,2.705025484913793,369682284.16963285,387633991.14014053,365261987.0137949,369682284.16963285,387633991.14014053,365261987.0137949,18.320416945964094
cpp,comb_delay2,run,scalar,single,O3,48000,64,0,1,50,320000,321,0.102107624,319.086325,316.7,321.2125,4.512499999999989,1.4141941056232945,4.985723828125,4.985723828125,200572682.0163791,202083991.1588254,199245048.06008485,200572682.0163791,202083991.1588254,199245048.06008485,34.40405727177858
cpp,comb_delay2,run,vec,double,O3,48000,64,0,1,50,490000,492,0.100548917,205.20187142857145,203.9292,207.2875,3.358300000000014,1.6365835148677006,3.2062792410714285,3.2062792410714285,311887993.78117615,313834409.1969174,308749924.62160045,311887993.78117615,313834409.1969174,308749924.62160045,13.447375828400254
cpp,comb_delay2,run,vec,single,O3,48000,64,0,1,50,500000,502,0.1013870829999999,202.774166,201.3917,205.52919999999995,4.137499999999989,2.040447302345205,3.16834634375,3.16834634375,315622060.060649,317788667.55680597,311391276.7626206,315622060.060649,317788667.55680597,311391276.7626206,29.818907782435417
mojo,comb_delay2,run,scalar,double,O3,48000,64,0,1,50,580000,586,0.0995259999999689,171.59655172408435,170.19999995682156,173.3000000967877,3.1000001399661414,1.8065631907048647,2.681196120688818,2.681196120688818,372967867.69298065,376028202.2105541,369301788.5992853,372967867.69298065,376028202.2105541,369301788.5992853,18.320416945964094
mojo,comb_delay2,run,scalar,single,O3,48000,64,0,1,50,580000,585,0.099992999997994,172.4017241344725,170.39999984262977,174.10000000381842,3.7000001611886546,2.1461503240551543,2.6937769396011326,2.6937769396011326,371225985.82645446,375586854.8069613,367604824.8052632,371225985.82645446,375586854.8069613,367604824.8052632,31.973202384077013
