language,bench_case,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,elapsed_s,ns_per_compute,ns_per_frame,ns_per_out_samp,frames_per_s,out_samp_per_s,checksum
mojo,buffer_sweep,single,O0,96000,16,0,1,100,525026,0.120534,229.57720189095397,14.348575118184623,14.348575118184623,69693331.3421939,69693331.3421939,15.24692589044571
mojo,buffer_sweep,single,O3,96000,16,0,1,100,1000000,0.090597,90.597,5.6623125,5.6623125,176606289.39148095,176606289.39148095,-11.716113150119781
mojo,buffer_sweep,double,O0,96000,16,0,1,100,540418,0.120385,222.76275031549653,13.922671894718533,13.922671894718533,71825293.84890144,71825293.84890144,-4.683137066745236
mojo,buffer_sweep,double,O3,96000,16,0,1,100,1000000,0.090772,90.772,5.67325,5.67325,176265808.8397303,176265808.8397303,-11.716113143190375
mojo,buffer_sweep,single,O0,96000,32,0,1,100,276765,0.123217,445.20441529817714,13.912637978068036,13.912637978068036,71877094.88138813,71877094.88138813,-29.620505452156067
mojo,buffer_sweep,single,O3,96000,32,0,1,100,660320,0.1199,181.57862854373636,5.674332141991761,5.674332141991761,176232193.4945788,176232193.4945788,-5.5878149145282805
mojo,buffer_sweep,double,O0,96000,32,0,1,100,282892,0.1198,423.4831667208687,13.233848960027148,13.233848960027148,75563806.3439065,75563806.3439065,14.485724529480382
mojo,buffer_sweep,double,O3,96000,32,0,1,100,660938,0.120069,181.664543421622,5.6770169819256875,5.6770169819256875,176148847.74587947,176148847.74587947,26.963039131558855
mojo,buffer_sweep,single,O0,96000,64,0,1,100,138381,0.121231,876.0668010781827,13.688543766846605,13.688543766846605,73053789.8722274,73053789.8722274,-17.438944122754037
mojo,buffer_sweep,single,O3,96000,64,0,1,100,330706,0.119989,362.8268008442544,5.669168763191475,5.669168763191475,176392702.66441092,176392702.66441092,54.185694605112076
mojo,buffer_sweep,double,O0,96000,64,0,1,100,141464,0.119276,843.1544421195498,13.174288158117966,13.174288158117966,75905429.42419264,75905429.42419264,53.06287021173086
mojo,buffer_sweep,double,O3,96000,64,0,1,100,330979,0.120307,363.4883179899631,5.679504968593173,5.679504968593173,176071683.2769498,176071683.2769498,42.11300104336169
mojo,buffer_sweep,single,O0,96000,128,0,1,100,67230,0.116746,1736.5164361148297,13.566534657147107,13.566534657147107,73710790.94786973,73710790.94786973,62.35575043223798
mojo,buffer_sweep,single,O3,96000,128,0,1,100,165407,0.120026,725.6403900681349,5.669065547407304,5.669065547407304,176395914.21858597,176395914.21858597,53.85940027558858
mojo,buffer_sweep,double,O0,96000,128,0,1,100,71830,0.1233,1716.5529722956983,13.410570096060143,13.410570096060143,74568045.41768046,74568045.41768046,-10.204897878036434
mojo,buffer_sweep,double,O3,96000,128,0,1,100,165239,0.119823,725.1496317455322,5.665231498011971,5.665231498011971,176515293.39108518,176515293.39108518,-35.4728521475161
mojo,buffer_sweep,single,O0,96000,256,0,1,100,34014,0.117542,3455.6947139413182,13.498807476333274,13.498807476333274,74080617.99186674,74080617.99186674,-9.448170512914658
mojo,buffer_sweep,single,O3,96000,256,0,1,100,82792,0.120997,1461.4576287564016,5.708818862329694,5.708818862329694,175167582.66733888,175167582.66733888,-6.510144499130547
mojo,buffer_sweep,double,O0,96000,256,0,1,100,35608,0.12163,3415.805436980454,13.342989988204899,13.342989988204899,74945720.6281345,74945720.6281345,-12.76133463802362
mojo,buffer_sweep,double,O3,96000,256,0,1,100,82798,0.121362,1465.7600425131043,5.725625166066814,5.725625166066814,174653417.0498179,174653417.0498179,-15.105264235421071
mojo,buffer_sweep,single,O0,96000,512,0,1,100,17291,0.122206,7067.607425828465,13.803920753571221,13.803920753571221,72443186.09560905,72443186.09560905,26.569989837985702
mojo,buffer_sweep,single,O3,96000,512,0,1,100,41373,0.120035,2901.2882797960024,5.666578671476567,5.666578671476567,176473328.61248803,176473328.61248803,-61.364995151758194
